"cc","cshare","has_share"
"AGO",0.0256239978434009,0
"BRA",6.68229919020229,1
"CZE",18.9011869358438,1
"FRA",11.4824016004204,1
"IRL",25,1
"LUX",24.3509466194324,1
"NZL",11.0290627717593,1
"ROU",14.9615010192476,1
"TUN",21.4276751553017,1
"ARG",7.50211020454694,1
"CAN",12.0397277558722,1
"DEU",12.5653456298037,1
"GBR",10.7174451092836,1
"IRN",0.021523037677431,0
"MEX",15.8720163805987,1
"PER",11.1467159624098,1
"SAU",14.6413263519046,1
"TUR",11.6922099896419,1
"AUS",9.91451107706148,1
"CHE",16.789490405536,1
"DNK",13.7099005200015,1
"GRC",14.630396173026,1
"ISL",11.5104084997971,1
"MLT",21.4786216409822,1
"PHL",13.4751355297168,1
"SGP",23.5827027859539,1
"TWN",12.9037152766701,1
"AUT",18.1733279979294,1
"CHL",14.5273560106825,1
"EGY",10.7208690176817,1
"HKG",15.6642814058599,1
"ISR",9.96208336596216,1
"MYS",12.7290553948875,1
"POL",17.6093527240772,1
"SVK",23.0722977611921,1
"URY",0.038382544371855,0
"BEL",19.7231921429225,1
"CHN",3.51809566174948,1
"ESP",10.2813712797441,1
"HUN",23.4628141537116,1
"ITA",10.2185745156555,1
"NAM",0.0407430012340636,0
"PRT",14.421560282025,1
"SVN",23.479139244986,1
"USA",6.10504361634866,1
"BGR",19.3820480890264,1
"COL",9.63472601535492,1
"EST",21.9230168864758,1
"IDN",6.15076608327509,1
"JPN",6.11570150835332,1
"NLD",13.3055550014623,1
"PRY",0.0337234597753135,0
"SWE",13.6136483773422,1
"ZAF",9.34484500083659,1
"BOL",0.0308372593960599,0
"CYP",24.5541239383985,1
"FIN",10.320269038497,1
"IND",7.33680449259117,1
"KOR",8.24804860309932,1
"NOR",14.081659715084,1
"QAT",0.0398120439139809,0
"THA",13.9648946925881,1
"AGO_A",9.70244338464374,0
"BRA_A",9.70244338464374,0
"CZE_A",9.60925967607897,0
"FRA_A",9.58238524746662,0
"IRL_A",9.53408410936528,0
"LUX_A",9.69397652362093,0
"NZL_A",9.6964634794291,0
"ROU_A",9.70244338464374,0
"TUN_A",9.70244338464374,0
"ARG_A",9.70244338464374,0
"CAN_A",9.61742417678161,0
"DEU_A",9.45905136451746,0
"GBR_A",9.63378736599545,0
"IRN_A",9.70244338464374,0
"MEX_A",9.70244338464374,0
"PER_A",9.70244338464374,0
"SAU_A",9.70244338464374,0
"TUR_A",9.70244338464374,0
"AUS_A",9.69730754863397,0
"CHE_A",9.6448555393151,0
"DNK_A",9.68062449565515,0
"GRC_A",9.65354059545575,0
"ISL_A",9.70186813516011,0
"MLT_A",9.69757603936387,0
"PHL_A",9.70244338464374,0
"SGP_A",9.62644396863128,0
"TWN_A",9.62997105023102,0
"AUT_A",9.63067187485611,0
"CHL_A",9.70244338464374,0
"EGY_A",9.70244338464374,0
"HKG_A",9.66055846969773,0
"ISR_A",9.70035142557602,0
"MYS_A",9.70244338464374,0
"POL_A",9.70244338464374,0
"SVK_A",9.63364164014911,0
"URY_A",9.70244338464374,0
"BEL_A",9.59277116529876,0
"CHN_A",9.70244338464374,0
"ESP_A",9.67589459058162,0
"HUN_A",9.70244338464374,0
"ITA_A",9.67135752517178,0
"NAM_A",9.70244338464374,0
"PRT_A",9.65672931884409,0
"SVN_A",9.67552409045703,0
"USA_A",11.30904182953,0
"BGR_A",9.70244338464374,0
"COL_A",9.70244338464374,0
"EST_A",9.68722568882768,0
"IDN_A",9.70244338464374,0
"JPN_A",10.1870035149638,0
"NLD_A",9.64370632144127,0
"PRY_A",9.70244338464374,0
"SWE_A",9.66526547769907,0
"ZAF_A",9.70244338464374,0
"BOL_A",9.70244338464374,0
"CYP_A",9.69033222987636,0
"FIN_A",9.69922002387447,0
"IND_A",9.70244338464374,0
"KOR_A",9.77586862842436,0
"NOR_A",9.68023217682973,0
"QAT_A",9.70244338464374,0
"THA_A",9.70244338464374,0
"AGO_E",6.87484862459761,0
"BRA_E",6.83115819946615,0
"CZE_E",6.82380082844891,0
"FRA_E",6.82380082844891,0
"IRL_E",6.82380082844891,0
"LUX_E",6.82380082844891,0
"NZL_E",6.82380082844891,0
"ROU_E",6.78672879771718,0
"TUN_E",6.78369457581606,0
"ARG_E",6.81661196643395,0
"CAN_E",6.82380082844891,0
"DEU_E",6.82380082844891,0
"GBR_E",6.82380082844891,0
"IRN_E",6.9584986880715,0
"MEX_E",6.54514606871503,0
"PER_E",6.7906356722715,0
"SAU_E",6.7605556692614,0
"TUR_E",6.726785633785,0
"AUS_E",6.82380082844891,0
"CHE_E",6.82380082844891,0
"DNK_E",6.82380082844891,0
"GRC_E",6.82380082844891,0
"ISL_E",6.82380082844891,0
"MLT_E",6.82380082844891,0
"PHL_E",6.65101738419148,0
"SGP_E",6.82380082844891,0
"TWN_E",6.82380082844891,0
"AUT_E",6.82380082844891,0
"CHL_E",6.78945752269729,0
"EGY_E",6.72997653659844,0
"HKG_E",6.82380082844891,0
"ISR_E",6.82380082844891,0
"MYS_E",6.77928327246283,0
"POL_E",6.72724574080732,0
"SVK_E",6.82380082844891,0
"URY_E",6.82930618803866,0
"BEL_E",6.82380082844891,0
"CHN_E",8.49487177310467,0
"ESP_E",6.82380082844891,0
"HUN_E",6.78597729825147,0
"ITA_E",6.82380082844891,0
"NAM_E",6.82776571882314,0
"PRT_E",6.82380082844891,0
"SVN_E",6.82380082844891,0
"USA_E",6.82380082844891,0
"BGR_E",6.80317980850815,0
"COL_E",6.79026792996063,0
"EST_E",6.82380082844891,0
"IDN_E",6.86934204858427,0
"JPN_E",6.82380082844891,0
"NLD_E",6.82380082844891,0
"PRY_E",6.83502136191311,0
"SWE_E",6.82380082844891,0
"ZAF_E",6.78874753755346,0
"BOL_E",6.84216567260546,0
"CYP_E",6.82380082844891,0
"FIN_E",6.82380082844891,0
"IND_E",6.58239006344519,0
"KOR_E",6.82380082844891,0
"NOR_E",6.82380082844891,0
"QAT_E",6.82830318545858,0
"THA_E",6.70543224472432,0
"AGO_R",NA,0
"BRA_R",NA,0
"CZE_R",NA,0
"FRA_R",NA,0
"IRL_R",NA,0
"LUX_R",NA,0
"NZL_R",NA,0
"ROU_R",NA,0
"TUN_R",NA,0
"ARG_R",NA,0
"CAN_R",NA,0
"DEU_R",NA,0
"GBR_R",NA,0
"IRN_R",NA,0
"MEX_R",NA,0
"PER_R",NA,0
"SAU_R",NA,0
"TUR_R",NA,0
"AUS_R",NA,0
"CHE_R",NA,0
"DNK_R",NA,0
"GRC_R",NA,0
"ISL_R",NA,0
"MLT_R",NA,0
"PHL_R",NA,0
"SGP_R",NA,0
"TWN_R",NA,0
"AUT_R",NA,0
"CHL_R",NA,0
"EGY_R",NA,0
"HKG_R",NA,0
"ISR_R",NA,0
"MYS_R",NA,0
"POL_R",NA,0
"SVK_R",NA,0
"URY_R",NA,0
"BEL_R",NA,0
"CHN_R",NA,0
"ESP_R",NA,0
"HUN_R",NA,0
"ITA_R",NA,0
"NAM_R",NA,0
"PRT_R",NA,0
"SVN_R",NA,0
"USA_R",NA,0
"BGR_R",NA,0
"COL_R",NA,0
"EST_R",NA,0
"IDN_R",NA,0
"JPN_R",NA,0
"NLD_R",NA,0
"PRY_R",NA,0
"SWE_R",NA,0
"ZAF_R",NA,0
"BOL_R",NA,0
"CYP_R",NA,0
"FIN_R",NA,0
"IND_R",NA,0
"KOR_R",NA,0
"NOR_R",NA,0
"QAT_R",NA,0
"THA_R",NA,0
"AGO_D",NA,0
"BRA_D",NA,0
"CZE_D",NA,0
"FRA_D",NA,0
"IRL_D",NA,0
"LUX_D",NA,0
"NZL_D",NA,0
"ROU_D",NA,0
"TUN_D",NA,0
"ARG_D",NA,0
"CAN_D",NA,0
"DEU_D",NA,0
"GBR_D",NA,0
"IRN_D",NA,0
"MEX_D",NA,0
"PER_D",NA,0
"SAU_D",NA,0
"TUR_D",NA,0
"AUS_D",NA,0
"CHE_D",NA,0
"DNK_D",NA,0
"GRC_D",NA,0
"ISL_D",NA,0
"MLT_D",NA,0
"PHL_D",NA,0
"SGP_D",NA,0
"TWN_D",NA,0
"AUT_D",NA,0
"CHL_D",NA,0
"EGY_D",NA,0
"HKG_D",NA,0
"ISR_D",NA,0
"MYS_D",NA,0
"POL_D",NA,0
"SVK_D",NA,0
"URY_D",NA,0
"BEL_D",NA,0
"CHN_D",NA,0
"ESP_D",NA,0
"HUN_D",NA,0
"ITA_D",NA,0
"NAM_D",NA,0
"PRT_D",NA,0
"SVN_D",NA,0
"USA_D",NA,0
"BGR_D",NA,0
"COL_D",NA,0
"EST_D",NA,0
"IDN_D",NA,0
"JPN_D",NA,0
"NLD_D",NA,0
"PRY_D",NA,0
"SWE_D",NA,0
"ZAF_D",NA,0
"BOL_D",NA,0
"CYP_D",NA,0
"FIN_D",NA,0
"IND_D",NA,0
"KOR_D",NA,0
"NOR_D",NA,0
"QAT_D",NA,0
"THA_D",NA,0
"AGO_U",NA,0
"BRA_U",NA,0
"CZE_U",NA,0
"FRA_U",NA,0
"IRL_U",NA,0
"LUX_U",NA,0
"NZL_U",NA,0
"ROU_U",NA,0
"TUN_U",NA,0
"ARG_U",NA,0
"CAN_U",NA,0
"DEU_U",NA,0
"GBR_U",NA,0
"IRN_U",NA,0
"MEX_U",NA,0
"PER_U",NA,0
"SAU_U",NA,0
"TUR_U",NA,0
"AUS_U",NA,0
"CHE_U",NA,0
"DNK_U",NA,0
"GRC_U",NA,0
"ISL_U",NA,0
"MLT_U",NA,0
"PHL_U",NA,0
"SGP_U",NA,0
"TWN_U",NA,0
"AUT_U",NA,0
"CHL_U",NA,0
"EGY_U",NA,0
"HKG_U",NA,0
"ISR_U",NA,0
"MYS_U",NA,0
"POL_U",NA,0
"SVK_U",NA,0
"URY_U",NA,0
"BEL_U",NA,0
"CHN_U",NA,0
"ESP_U",NA,0
"HUN_U",NA,0
"ITA_U",NA,0
"NAM_U",NA,0
"PRT_U",NA,0
"SVN_U",NA,0
"USA_U",NA,0
"BGR_U",NA,0
"COL_U",NA,0
"EST_U",NA,0
"IDN_U",NA,0
"JPN_U",NA,0
"NLD_U",NA,0
"PRY_U",NA,0
"SWE_U",NA,0
"ZAF_U",NA,0
"BOL_U",NA,0
"CYP_U",NA,0
"FIN_U",NA,0
"IND_U",NA,0
"KOR_U",NA,0
"NOR_U",NA,0
"QAT_U",NA,0
"THA_U",NA,0
